[1, 0, 13, 1]===[{5, 50}, {10, 93}, {10, 93}, {8, 73}, {8, 80}, {2, 18}, {2, 11}, {9, 88}, {1, 4}, {5, 45}, {6, 51}, {6, 58}, {4, 32}]===[T(10, 92, 4, ([0]))]
[1, 0, 13, 2]===[{4, 34}, {9, 81}, {2, 11}, {2, 17}, {9, 84}, {7, 63}, {8, 76}, {10, 91}, {5, 41}, {7, 63}, {8, 73}, {5, 50}, {5, 41}]===[T(1, 2, 2, ([1]))]
[1, 0, 13, 3]===[{1, 8}, {9, 90}, {9, 89}, {2, 16}, {7, 67}, {5, 46}, {8, 76}, {1, 9}, {5, 41}, {4, 38}, {4, 34}, {4, 34}, {9, 83}]===[T(7, 62, 1, ([1]))]
[1, 0, 13, 4]===[{8, 77}, {8, 80}, {3, 21}, {10, 94}, {4, 35}, {3, 27}, {3, 25}, {5, 46}, {7, 69}, {3, 24}, {10, 94}, {2, 14}, {7, 61}]===[T(4, 32, 2, ([1]))]
[1, 0, 13, 5]===[{2, 19}, {4, 38}, {8, 75}, {10, 91}, {3, 24}, {2, 14}, {10, 91}, {5, 48}, {1, 8}, {7, 68}, {9, 88}, {4, 40}, {6, 53}]===[T(6, 54, 2, ([1]))]
[1, 0, 13, 6]===[{8, 75}, {5, 44}, {3, 22}, {5, 47}, {3, 27}, {8, 74}, {3, 30}, {3, 27}, {3, 27}, {4, 35}, {4, 37}, {2, 13}, {5, 41}]===[T(5, 46, 2, ([0]))]
[1, 0, 13, 7]===[{4, 34}, {8, 79}, {10, 100}, {7, 67}, {4, 37}, {4, 39}, {8, 80}, {3, 25}, {2, 17}, {5, 45}, {7, 66}, {8, 73}, {3, 23}]===[T(9, 90, 3, ([1]))]
[1, 0, 13, 8]===[{1, 7}, {10, 99}, {6, 58}, {10, 95}, {3, 30}, {2, 19}, {6, 56}, {7, 63}, {2, 16}, {6, 53}, {8, 78}, {9, 90}, {4, 40}]===[T(9, 83, 4, ([1]))]
[1, 0, 13, 9]===[{10, 94}, {7, 69}, {3, 30}, {5, 50}, {4, 31}, {2, 18}, {3, 28}, {8, 78}, {10, 98}, {2, 16}, {8, 72}, {2, 13}, {1, 6}]===[T(2, 13, 3, ([1]))]
[1, 0, 13, 10]===[{5, 49}, {8, 76}, {10, 93}, {8, 79}, {2, 19}, {6, 51}, {5, 50}, {6, 56}, {1, 9}, {3, 21}, {7, 64}, {5, 41}, {9, 88}]===[T(9, 84, 1, ([1]))]
[1, 0, 13, 11]===[{4, 34}, {6, 54}, {6, 58}, {8, 80}, {1, 3}, {5, 49}, {7, 70}, {2, 14}, {7, 69}, {2, 18}, {5, 50}, {2, 19}, {2, 20}]===[T(1, 9, 1, ([1]))]
