CONTAINER ID,NAME,CPU %,MEM USAGE (B),MEM LIMIT (B),MEM %,NETWORK IN (kB),NETWORK OUT (kB),BLOCK IN (kB),BLOCK OUT (kB),PIDS
3c8ef68fae4f,sfe_drone,0.00%,7.926MiB,1.938GiB,0.40%,53.6kB,53.2kB,86kB,217kB,11
4792b602a5f2,sfe_laptop,93.04%,10.75MiB,1.938GiB,0.54%,54kB,52.8kB,90.1kB,217kB,12
3c8ef68fae4f,sfe_drone,0.00%,7.926MiB,1.938GiB,0.40%,53.6kB,53.2kB,86kB,217kB,11
4792b602a5f2,sfe_laptop,93.04%,10.75MiB,1.938GiB,0.54%,54kB,52.8kB,90.1kB,217kB,12
3c8ef68fae4f,sfe_drone,84.79%,17.02MiB,1.938GiB,0.86%,58.3kB,58.7kB,86kB,217kB,7
4792b602a5f2,sfe_laptop,99.86%,19.82MiB,1.938GiB,1.00%,59.6kB,57.5kB,90.1kB,217kB,6
3c8ef68fae4f,sfe_drone,84.79%,17.02MiB,1.938GiB,0.86%,58.3kB,58.7kB,86kB,217kB,7
4792b602a5f2,sfe_laptop,99.86%,19.82MiB,1.938GiB,1.00%,59.6kB,57.5kB,90.1kB,217kB,6
3c8ef68fae4f,sfe_drone,0.80%,17.02MiB,1.938GiB,0.86%,63.5kB,65.9kB,86kB,217kB,7
4792b602a5f2,sfe_laptop,100.44%,19.82MiB,1.938GiB,1.00%,66.7kB,62.6kB,90.1kB,217kB,6
3c8ef68fae4f,sfe_drone,0.80%,17.02MiB,1.938GiB,0.86%,63.5kB,65.9kB,86kB,217kB,7
4792b602a5f2,sfe_laptop,100.44%,19.82MiB,1.938GiB,1.00%,66.7kB,62.6kB,90.1kB,217kB,6
3c8ef68fae4f,sfe_drone,0.79%,17.02MiB,1.938GiB,0.86%,68.7kB,73kB,86kB,217kB,7
4792b602a5f2,sfe_laptop,99.94%,19.82MiB,1.938GiB,1.00%,73.9kB,67.9kB,90.1kB,217kB,6
3c8ef68fae4f,sfe_drone,0.79%,17.02MiB,1.938GiB,0.86%,68.7kB,73kB,86kB,217kB,7
4792b602a5f2,sfe_laptop,99.94%,19.82MiB,1.938GiB,1.00%,73.9kB,67.9kB,90.1kB,217kB,6
3c8ef68fae4f,sfe_drone,86.11%,31.27MiB,1.938GiB,1.58%,127kB,131kB,86kB,217kB,5
4792b602a5f2,sfe_laptop,87.20%,34.23MiB,1.938GiB,1.72%,132kB,126kB,90.1kB,217kB,8
3c8ef68fae4f,sfe_drone,86.11%,31.27MiB,1.938GiB,1.58%,127kB,131kB,86kB,217kB,5
4792b602a5f2,sfe_laptop,87.20%,34.23MiB,1.938GiB,1.72%,132kB,126kB,90.1kB,217kB,8
3c8ef68fae4f,sfe_drone,100.14%,31.27MiB,1.938GiB,1.58%,127kB,131kB,86kB,217kB,5
4792b602a5f2,sfe_laptop,0.00%,34.23MiB,1.938GiB,1.72%,132kB,126kB,90.1kB,217kB,8
3c8ef68fae4f,sfe_drone,100.14%,31.27MiB,1.938GiB,1.58%,127kB,131kB,86kB,217kB,5
4792b602a5f2,sfe_laptop,0.00%,34.23MiB,1.938GiB,1.72%,132kB,126kB,90.1kB,217kB,8
3c8ef68fae4f,sfe_drone,100.09%,31.27MiB,1.938GiB,1.58%,127kB,131kB,86kB,217kB,5
4792b602a5f2,sfe_laptop,0.00%,34.23MiB,1.938GiB,1.72%,132kB,126kB,90.1kB,217kB,8
3c8ef68fae4f,sfe_drone,100.09%,31.27MiB,1.938GiB,1.58%,127kB,131kB,86kB,217kB,5
4792b602a5f2,sfe_laptop,0.00%,34.23MiB,1.938GiB,1.72%,132kB,126kB,90.1kB,217kB,8
3c8ef68fae4f,sfe_drone,106.33%,40.3MiB,1.938GiB,2.03%,180kB,185kB,86kB,217kB,11
4792b602a5f2,sfe_laptop,35.06%,47.73MiB,1.938GiB,2.40%,186kB,179kB,90.1kB,217kB,12
