CONTAINER ID,NAME,CPU %,MEM USAGE (B),MEM LIMIT (B),MEM %,NETWORK IN (kB),NETWORK OUT (kB),BLOCK IN (kB),BLOCK OUT (kB),PIDS
3c8ef68fae4f,sfe_drone,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
4792b602a5f2,sfe_laptop,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
3c8ef68fae4f,sfe_drone,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
4792b602a5f2,sfe_laptop,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
3c8ef68fae4f,sfe_drone,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
4792b602a5f2,sfe_laptop,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
3c8ef68fae4f,sfe_drone,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
4792b602a5f2,sfe_laptop,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
3c8ef68fae4f,sfe_drone,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
4792b602a5f2,sfe_laptop,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
3c8ef68fae4f,sfe_drone,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
4792b602a5f2,sfe_laptop,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
3c8ef68fae4f,sfe_drone,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
4792b602a5f2,sfe_laptop,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
3c8ef68fae4f,sfe_drone,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
4792b602a5f2,sfe_laptop,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
3c8ef68fae4f,sfe_drone,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
4792b602a5f2,sfe_laptop,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
3c8ef68fae4f,sfe_drone,0.00%,908KiB,1.938GiB,0.04%,1.01kB,0B,0B,0B,1
