part,times0,times1,times2,times3
1,71.617179,74.606125,69.598471,78.557624
2, 69.118192,67.063741,76.758435,71.764013
3,80.071794,67.962531,70.145136,81.100184
4,80.340533,71.545212,74.550759,89.577165
5,71.182361,69.462424,81.099899,74.163834
6,74.603572,74.939199,76.299457,82.933875
7,74.124288,73.841466,75.156365,91.108734
8,83.762612,81.055548,72.236163,99.471830
9,75.655540,69.054873,66.421986,90.598414
10,71.261144,70.062204,66.939979,92.773170
11,72.033817,67.246732,70.834835,89.996758
12,71.604423,72.385446,70.733529,96.081620
13,81.251143,74.397754,64.590787,90.448501
14,79.162872,73.091638,75.885826,96.881111
15,80.266512,64.538290,81.227976,98.844718
16,81.463459,66.160423,83.370663,94.984881
17,77.858414,72.154322,74.640215,104.146961
18,75.824192,75.830332,75.600008,100.627880
19,80.080856,72.598841,71.500299,107.003206
20,74.154855,75.869496,68.772575,112.515114
21,,,,103.723581
22,,,,111.725430
23,,,,126.608513
24,,,,109.272160
25,,,,118.661414
26,,,,121.128287
27,,,,122.442518
28,,,,111.269857
29,,,,127.876189
30,,,,123.001241
31,,,,122.528656
32,,,,134.112601
33,,,,132.139888
34,,,,130.201481
35,,,,147.297645
36,,,,137.297189
37,,,,131.533590
38,,,,134.605613
39,,,,134.061058
40,,,,140.100791
41,,,,135.342724
42,,,,139.013083
43,,,,143.572931
44,,,,155.270814
45,,,,149.252037
46,,,,152.287386
47,,,,153.098917
48,,,,145.815503
49,,,,154.056792
50,,,,161.104083
